,x,y,z,label
277911,-11407,-0.333646841,-1.649806066,Regular
28031,238473,-1.723163476,-0.016442084,Regular
17731,248773,1.094644138,-0.225557681,Regular
192503,74001,1.485183445,0.17097479,Regular
194305,72199,-1.062876565,0.349609168,Regular
46212,220292,-0.431615632,-1.745083788,Regular
220405,46099,-0.08028005,-1.397753028,Regular
153335,113169,-0.413327293,0.725868798,Regular
65642,200862,0.488960678,-0.82345115,Regular
448710,-182206,0.012414172,-1.294314675,Regular
249943,16561,-0.775216364,0.866636139,Regular
118876,147628,0.800697821,-0.511398024,Regular
514369,-247865,0.197585285,-1.112794545,Regular
196746,69758,0.30473378,-1.015710961,Regular
411039,-144535,-0.263555852,-1.575871113,Regular
462163,-195659,-0.630766583,1.289278103,Regular
408236,-141732,-0.79880371,0.228474399,Regular
509848,-243344,-1.428542343,0.350390703,Regular
307699,-41195,0.555503033,-0.764267096,Regular
245836,20668,1.562810212,2.257626723,Regular
383640,-117136,0.227470312,-1.089184748,Regular
531035,-264531,0.447349082,-0.862842841,Regular
285916,-19412,0.942522345,-0.371985475,Regular
386990,-120486,0.570692903,-0.738075965,Regular
266381,123,0.552624736,-0.762806121,Regular
270214,-3710,0.633584075,-0.683606021,Regular
134345,132159,-0.667460787,0.062373594,Regular
95085,171419,1.188488137,-0.125293131,Regular
55275,211229,-0.211323589,-1.530105408,Regular
501509,-235005,-0.034162533,-1.34604684,Regular
274580,-8076,1.484965559,0.168787781,Regular
461462,-194958,-0.569760214,0.895454776,Regular
336751,-70247,0.234897346,1.924023282,Regular
140703,125801,0.282602955,-1.027125291,Regular
126762,139742,-0.129890205,-1.446789462,Regular
210666,55838,1.037598332,-0.27066412,Regular
23013,243491,0.044435239,1.646979336,Regular
351267,-84763,0.819922539,-0.494649133,Regular
337715,-71211,-1.264465405,0.47330166,Regular
188423,78081,0.006716468,-1.312623156,Regular
293066,-26562,-0.834441299,0.285015526,Regular
191695,74809,-0.122800862,1.585567629,Regular
306376,-39872,0.533982444,-0.773532206,Regular
254383,12121,-0.60902586,0.873466827,Regular
134409,132095,-1.436254033,0.519550321,Regular
421914,-155410,-0.13882056,1.598829573,Regular
181402,85102,0.164277339,-1.153394825,Regular
399867,-133363,0.804940874,-0.504601911,Regular
436263,-169759,-2.161061207,-0.693409454,Regular
335725,-69221,-1.310864314,0.35149095,Regular
99649,166855,-0.16594309,1.376013316,Regular
519730,-253226,1.089056256,-0.222627197,Regular
140822,125682,-0.087805384,1.324577762,Regular
294817,-28313,-0.984856127,0.480506352,Regular
128965,137539,2.38652492,1.074318316,Regular
270720,-4216,0.859928274,-0.450942327,Regular
29428,237076,1.882551751,0.567283055,Regular
140531,125973,-0.208528579,0.62726733,Regular
246059,20445,1.131299025,-0.185020486,Regular
342336,-75832,-2.230185414,-1.194546616,Regular
107552,158952,-0.736019116,0.575206558,Regular
47087,219417,-0.798721529,0.870374347,Regular
60291,206213,1.666137592,0.342699047,Regular
40344,226160,-0.022810165,-1.339340903,Regular
313246,-46742,-0.777785725,0.584188841,Regular
222083,44421,-1.020239838,0.619532115,Regular
478926,-212422,-1.416965584,0.580143405,Regular
118902,147602,0.52018062,-0.793764972,Regular
68409,198095,-1.152144421,0.491939233,Regular
296625,-30121,-0.417168285,1.212112166,Regular
103527,162977,-1.00292394,0.72654688,Regular
