,Supplier_ID,sum,count,num_manual_edit,cause,clusters,label
0,12346,11.25395523,0.693147181,0,No issue with the invoice,2,Cluster 3
1,12347,8.368925175,5.209486153,0,No issue with the invoice,2,Cluster 3
2,12348,7.494563688,3.465735903,0,No issue with the invoice,1,Cluster 2
3,12349,7.472244885,4.304065093,0,No issue with the invoice,1,Cluster 2
4,12350,5.815323849,2.890371758,0,No issue with the invoice,0,Cluster 1
5,12352,7.826858053,4.454347296,0,No issue with the invoice,2,Cluster 3
6,12353,4.49980967,1.609437912,0,No issue with the invoice,0,Cluster 1
7,12354,6.985086622,4.077537444,0,No issue with the invoice,1,Cluster 2
8,12355,6.132095677,2.63905733,0,No issue with the invoice,0,Cluster 1
9,12356,7.941804157,4.094344562,0,No issue with the invoice,2,Cluster 3
10,12357,8.733701981,4.882801923,0,No issue with the invoice,2,Cluster 3
11,12358,7.063955286,2.995732274,0,No issue with the invoice,1,Cluster 2
12,12359,8.7599166,5.517452896,0,No issue with the invoice,2,Cluster 3
13,12360,7.887231117,4.86753445,0,No issue with the invoice,2,Cluster 3
14,12361,5.251749731,2.397895273,0,No issue with the invoice,0,Cluster 1
15,12362,8.56163678,5.587248658,0,No issue with the invoice,2,Cluster 3
16,12363,9.315358002,6.17805383,1,"Unknown ""Country"" due to ""Supplier not provided""",2,Cluster 3
17,12364,7.1809073,4.454347296,0,No issue with the invoice,1,Cluster 2
18,12365,6.465180029,3.135494216,0,No issue with the invoice,1,Cluster 2
19,12367,5.135210029,2.48490665,0,No issue with the invoice,0,Cluster 1
20,12370,8.173770053,5.123963979,0,No issue with the invoice,2,Cluster 3
21,12371,7.543781692,4.158883083,0,No issue with the invoice,1,Cluster 2
22,12372,7.169380809,3.970291914,0,No issue with the invoice,1,Cluster 2
23,12373,5.90153984,2.708050201,0,No issue with the invoice,0,Cluster 1
24,12374,6.611946944,3.526360525,0,No issue with the invoice,1,Cluster 2
25,12375,6.127960292,2.890371758,0,No issue with the invoice,0,Cluster 1
26,12377,7.395795271,4.356708827,0,No issue with the invoice,1,Cluster 2
27,12378,8.296451753,5.393627546,0,No issue with the invoice,2,Cluster 3
28,12379,6.749040868,3.713572067,0,No issue with the invoice,1,Cluster 2
29,12380,7.910520911,4.65396035,0,No issue with the invoice,2,Cluster 3
30,12381,7.520944332,4.477336814,0,No issue with the invoice,2,Cluster 3
31,12383,7.523783806,4.605170186,0,No issue with the invoice,2,Cluster 3
32,12384,6.373780434,3.33220451,0,No issue with the invoice,1,Cluster 2
33,12386,5.998688392,2.397895273,0,No issue with the invoice,0,Cluster 1
